freq,p_adj,unit,product,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NI,I15,200000,AT	100.00 	98.10 	98.50 	102.40 	103.00 	101.80 	110.50 	137.70 	135.20 e
A,NI,I15,200000,BE	100.00 	98.24 	101.75 	105.58 	107.50 	105.75 	120.96 	156.71 	140.63 e
A,NI,I15,200000,BG	100.00 	96.90 	98.50 	102.60 	104.00 	100.80 	112.40 	148.30 	141.00 e
A,NI,I15,200000,CY	100.00 	93.96 	95.30 	93.19 	96.02 	94.03 	105.84 	133.81 	134.54 e
A,NI,I15,200000,CZ	100.00 	96.00 	97.10 	99.00 	101.70 	101.10 	107.70 	136.20 	137.80 e
A,NI,I15,200000,DE	100.00 	97.10 	98.50 	102.70 	103.90 	103.10 	112.90 	146.90 	143.60 e
A,NI,I15,200000,DK	100.00 	99.92 	100.60 	103.01 	104.13 	103.66 	111.17 	140.20 	138.55 e
A,NI,I15,200000,EE	100.00 	97.40 	98.08 	101.61 	103.44 	101.43 	110.10 	145.09 	145.91 e
A,NI,I15,200000,EL	100.00 	97.69 	100.43 	103.02 	102.99 	99.41 	107.81 	136.63 	136.93 e
A,NI,I15,200000,ES	100.00 	96.40 	96.70 	100.40 	101.30 	98.60 	112.50 	149.17 	139.10 e
A,NI,I15,200000,EU27_2020	100.00 	97.25 	98.84 	102.56 	104.08 	102.49 p	114.11 	149.93 	143.10 e
A,NI,I15,200000,EU28	100.00 	97.22 	99.20 	103.24 	104.90 	: 	: 	: 	: 
A,NI,I15,200000,FI	100.00 	96.18 	97.96 	102.26 	104.25 	98.60 	111.49 	149.58 	135.57 e
A,NI,I15,200000,FR	100.00 	96.59 	97.42 	100.91 	102.42 	100.05 	110.17 	138.64 	134.91 e
A,NI,I15,200000,HR	100.00 	94.22 	93.74 	96.01 	96.37 	93.30 	112.41 	157.91 	138.83 e
A,NI,I15,200000,HU	100.00 	97.20 	96.70 	101.80 	105.80 	106.00 	125.80 	188.40 	186.35 e
A,NI,I15,200000,IE	100.00 	97.85 	98.22 	102.74 	105.04 	102.24 	111.62 	150.85 	143.42 e
A,NI,I15,200000,IT	100.00 	99.20 	100.20 	103.90 	105.60 	105.70 	115.40 	143.10 	139.40 e
A,NI,I15,200000,LT	100.00 	89.30 	92.99 	96.27 	93.97 	88.94 	106.94 	183.11 	155.11 e
A,NI,I15,200000,LU	100.00 	96.21 	97.29 	101.01 	102.15 	99.86 	112.32 	144.89 	132.00 e
A,NI,I15,200000,LV	100.00 	97.56 	98.31 	102.53 	104.25 	102.10 	108.74 	166.72 	148.53 e
A,NI,I15,200000,MT	100.00 	99.49 	99.10 	100.78 	102.58 	103.47 	112.14 	126.82 	128.36 e
A,NI,I15,200000,NL	100.00 	95.60 	98.90 	101.90 	101.70 	99.30 	118.30 	166.30 	135.60 e
A,NI,I15,200000,PL	100.00 	97.95 	99.99 	103.60 	107.08 	105.86 	119.64 p	165.51 	164.18 e
A,NI,I15,200000,PT	100.00 	99.39 	98.84 	100.53 	100.94 	100.52 	114.79 	149.24 	150.56 e
A,NI,I15,200000,RO	100.00 	95.57 	101.20 	106.28 	108.33 	107.18 	120.40 	155.11 	155.95 e
A,NI,I15,200000,SE	100.00 	98.20 	100.70 	108.20 	111.50 	106.80 	117.60 	155.73 	145.04 e
A,NI,I15,200000,SI	100.00 	96.96 	97.26 	101.02 	103.46 	100.33 	112.70 	149.04 	145.70 e
A,NI,I15,200000,SK	100.00 	94.57 	94.02 	99.80 	101.70 	97.60 	106.40 	151.68 	151.77 e
A,NI,I15,200000,UK	100.00 	96.88 	102.42 	109.28 	112.25 	113.55 f	: 	: 	: 
A,NI,I15,201000,AT	100.00 	100.30 	97.10 	98.50 	99.00 	99.80 	99.40 	105.40 	123.90 e
A,NI,I15,201000,BE	100.00 	100.19 	100.77 	99.03 	97.41 	96.06 	97.07 	101.02 	106.93 e
A,NI,I15,201000,BG	100.00 	103.70 	101.90 	103.70 	105.50 	101.30 	105.50 	121.20 	137.80 e
A,NI,I15,201000,CY	100.00 	98.50 	92.95 	83.22 	86.84 	87.40 	90.46 	91.49 	93.68 e
A,NI,I15,201000,CZ	100.00 	101.90 	102.50 	107.70 	111.40 	110.70 	112.20 	127.20 	142.40 e
A,NI,I15,201000,DE	100.00 	97.30 	98.20 	99.80 	102.30 	102.30 	110.70 	130.10 	133.80 e
A,NI,I15,201000,DK	100.00 	111.97 	110.06 	109.62 	111.86 	105.37 	111.88 	131.93 	131.93 e
A,NI,I15,201000,EE	100.00 	96.93 	98.46 	107.85 	110.84 	110.74 	115.92 	155.38 	174.28 e
A,NI,I15,201000,EL	100.00 	101.82 	101.31 	101.57 	101.74 	101.70 	103.13 	110.96 	117.88 e
A,NI,I15,201000,ES	100.00 	104.60 	105.00 	108.00 	106.40 	104.30 	105.90 	109.23 	120.50 e
A,NI,I15,201000,EU27_2020	100.00 	100.50 	101.09 	104.03 e	105.19 p	106.73 p	111.22 	123.05 	134.38 e
A,NI,I15,201000,EU28	100.00 	100.59 	100.96 	104.07 e	105.15 p	: 	: 	: 	: 
A,NI,I15,201000,FI	100.00 	97.45 	93.62 	98.06 	102.46 	94.99 	100.37 	115.69 	116.68 e
A,NI,I15,201000,FR	100.00 	98.72 	97.01 	97.32 	97.36 	97.41 	97.22 	101.91 	108.37 e
A,NI,I15,201000,HR	100.00 	101.14 	105.42 	102.18 	106.23 	108.96 	116.96 	135.61 	152.95 e
A,NI,I15,201000,HU	100.00 	98.90 	93.90 	101.80 	107.80 	111.00 	116.80 	139.80 	175.23 e
A,NI,I15,201000,IE	100.00 	98.46 	98.54 	98.16 	106.77 	102.00 	109.40 	123.26 	132.24 e
A,NI,I15,201000,IT	100.00 	101.50 	99.90 	101.60 	105.30 	110.10 	114.50 	130.70 	144.60 e
A,NI,I15,201000,LT	100.00 	102.89 	95.86 	122.90 	107.22 	122.97 	134.88 	138.43 	163.33 e
A,NI,I15,201000,LU	100.00 	104.85 	103.39 	103.99 	110.77 	109.59 	110.32 	119.46 	133.10 e
A,NI,I15,201000,LV	100.00 	103.39 	110.82 	106.91 	117.04 	110.00 	102.92 	140.05 	162.10 e
A,NI,I15,201000,MT	100.00 	110.01 	109.25 	111.95 	120.38 	121.12 	124.26 	130.64 	134.68 e
