freq,indic_de,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GNUPRT,AD	: 	3.7 	: 	: 	: 	: 	: 	3.9 	: 	: 	: 	: 
A,GNUPRT,AL	: 	: 	8.2 	8.2 	8.7 	7.8 	7.9 	8.1 	7.9 	6.2 	7.0 	6.8 
A,GNUPRT,AM	6.0 	: 	: 	: 	5.9 	5.4 	5.1 	5.0 	5.3 	: 	: 	: 
A,GNUPRT,AT	4.3 	4.6 	4.3 	4.4 	5.1 	5.1 	5.1 	5.3 	5.2 	4.4 	: 	: 
A,GNUPRT,AZ	9.6 	8.5 	9.2 	8.9 	7.1 	6.8 	6.4 	6.3 	6.4 	: 	: 	: 
A,GNUPRT,BA	: 	4.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GNUPRT,BE	3.7 b	3.8 	3.4 	3.6 	4.0 	3.9 	3.9 	3.9 	3.9 	2.8 	3.5 	4.2 
A,GNUPRT,BG	2.9 	2.9 	3.0 	3.4 	3.9 	3.8 	4.0 	4.1 	4.2 	3.2 	3.9 	3.9 
A,GNUPRT,BY	9.2 	8.1 	9.2 	8.9 	8.6 	6.8 	7.0 	6.4 	: 	: 	: 	: 
A,GNUPRT,CH	5.3 b	5.3 	4.9 	5.1 	5.0 	5.0 	4.8 	4.8 	4.5 	4.1 	4.2 	4.7 
A,GNUPRT,CY	7.3 	6.7 	6.4 	6.3 	7.2 	7.5 	6.8 	7.8 	8.9 	: 	: 	: 
A,GNUPRT,CZ	4.3 	4.3 	4.1 	4.3 	4.6 	4.8 	5.0 	5.1 	5.1 	4.2 	4.5 b	5.1 
A,GNUPRT,DE	4.6 	4.8 	4.6 	4.8 	4.9 	5.0 	4.9 	5.4 	5.0 	4.5 	4.3 	4.7 
A,GNUPRT,DK	4.9 	5.1 	4.9 	5.0 	5.1 	5.4 	5.5 	5.6 	5.3 	4.9 	4.7 	: 
A,GNUPRT,EA19	4.0 	4.1 	3.9 	3.9 	4.0 	4.1 	4.0 	4.1 	: 	: 	3.6 e	4.0 e
A,GNUPRT,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.6 e	4.0 e
A,GNUPRT,EE	4.1 	4.5 	4.3 	4.7 	5.2 	4.8 	4.9 	5.0 	5.1 	4.6 	4.8 	5.3 
A,GNUPRT,EL	5.0 	4.5 	4.7 	4.9 	5.0 	4.6 	4.7 	4.4 	4.4 	2.9 	3.9 	4.2 
A,GNUPRT,ES	3.4 	3.5 	3.3 	3.4 	3.6 	3.7 	3.7 	3.5 	3.5 	1.9 	3.1 	3.7 
A,GNUPRT,EU27_2020	4.2 	4.3 	4.1 	4.2 	4.3 	4.4 	4.4 	4.5 	4.3 	3.2 e	3.9 e	4.2 e
A,GNUPRT,FI	5.3 	5.3 	4.6 	4.5 	4.5 	4.5 	4.8 	4.3 	4.0 	4.0 	3.5 	3.9 
A,GNUPRT,FR	3.6 	3.7 	3.6 	3.6 	3.6 	3.5 	3.5 	3.5 	3.3 	2.3 	3.2 p	3.6 p
A,GNUPRT,FX	3.7 	3.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GNUPRT,GE	6.9 	: 	: 	7.7 	7.8 	6.7 	6.4 	6.2 	6.3 	: 	: 	7.0 
A,GNUPRT,HR	4.7 	4.8 	4.5 	4.6 	4.7 	4.9 	4.9 	4.9 	4.9 	3.8 	4.6 	4.7 
A,GNUPRT,HU	3.6 	3.6 b	3.7 	3.9 	4.7 	5.3 	5.2 	5.2 	6.7 	6.9 	7.4 	6.6 
A,GNUPRT,IE	4.3 	4.5 	4.5 	4.7 	4.7 	4.8 	4.6 	4.3 	4.1 	1.9 	3.3 	: 
A,GNUPRT,IS	4.6 	4.6 	4.4 	4.1 	4.6 	4.9 	5.8 	6.0 	5.8 	5.0 	: 	: 
A,GNUPRT,IT	3.4 	3.5 	3.2 	3.1 	3.2 	3.4 	3.2 	3.2 	3.1 	1.6 	3.1 	3.2 
A,GNUPRT,LI	4.5 	5.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GNUPRT,LT	6.3 	6.9 	6.9 	7.6 	7.6 	7.4 	7.5 	7.0 	7.0 	5.5 	6.0 	5.7 
A,GNUPRT,LU	3.3 	3.4 b	3.2 	3.0 	3.6 	3.2 	3.2 	3.1 	3.5 	2.9 	3.0 	3.8 
A,GNUPRT,LV	5.2 	5.5 	5.7 	6.3 	6.9 	6.6 	6.8 	6.8 	6.7 	5.6 	6.0 	6.3 
A,GNUPRT,MD	7.3 	6.8 	6.9 	7.2 	: 	: 	: 	: 	: 	: 	: 	: 
A,GNUPRT,ME	: 	5.3 	6.2 	5.7 	6.2 	5.1 	5.3 	5.3 	5.7 	3.3 	5.2 	: 
A,GNUPRT,MK	7.2 	6.8 	6.8 	6.7 	6.8 	6.4 	6.6 	6.5 	6.7 	5.0 	6.8 	: 
A,GNUPRT,MT	6.2 	6.7 	6.1 	6.6 	6.7 	6.7 	6.3 	5.8 	5.3 	2.2 	4.4 p	4.8 
A,GNUPRT,NL	4.3 	4.2 	3.8 	3.9 	3.8 	3.8 	3.8 	3.7 	3.7 	2.9 	3.2 	4.0 
A,GNUPRT,NO	4.6 	4.8 	4.7 	4.6 	4.5 	4.5 	4.4 	4.3 	4.0 	3.3 	: 	: 
A,GNUPRT,PL	5.4 	5.4 	4.7 	5.0 	5.0 	5.1 	5.1 	5.1 	4.8 	3.8 ep	4.5 ep	4.2 
A,GNUPRT,PT	3.4 	3.3 	3.1 	3.0 	3.1 	3.1 	3.3 	3.4 	3.2 	1.8 	2.8 bp	3.5 bp
A,GNUPRT,RO	5.2 	5.4 	5.4 	5.9 	6.3 	6.8 	7.3 	7.4 	6.6 	4.2 e	6.0 e	6.2 e
A,GNUPRT,RS	4.9 	4.8 	5.1 	5.1 	5.2 	5.1 	5.1 	5.2 	5.1 	3.4 	4.8 	4.9 
A,GNUPRT,RU	9.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GNUPRT,SE	5.0 	5.3 	5.4 	5.5 	5.3 	5.4 	5.2 	5.0 	4.7 	3.6 	3.7 	4.6 
A,GNUPRT,SI	3.2 	3.4 	3.0 	3.2 	3.1 	3.2 	3.1 	3.5 	3.2 	2.5 	2.8 	3.2 
A,GNUPRT,SK	4.7 	4.8 	4.7 	4.9 	5.3 	5.5 	5.8 	5.7 	5.4 	4.4 	4.8 	5.4 
A,GNUPRT,SM	6.3 	6.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GNUPRT,TR	8.0 	8.0 	7.9 	7.8 	7.7 	7.5 	7.1 	6.8 	6.6 	5.8 	: 	6.8 
A,GNUPRT,UA	7.8 	6.1 	6.7 	: 	7.0 	5.4 	5.9 	5.4 	5.7 	4.0 	5.2 	: 
A,GNUPRT,UK	4.5 	: 	4.3 	4.5 	4.4 	4.4 	: 	: 	: 	: 	: 	: 
A,GNUPRT,XK	9.3 	9.5 	: 	: 	9.1 	9.0 	9.6 	9.4 	9.8 	: 	: 	: 
